group,Academy Awards,Satellite Awards,Critics Choice Awards,BAFTA Awards,"Golde Globes, USA",Screen Actors Guild Awards
Daniel Day-Lewis,3,2,3,4,2,3
Robert Downey Jr.,0,0,0,1,3,1
Robin Williams,1,0,0,0,5,2
